model,valence,cue,degree,strength,clustering,closeness
base,positive,treasure,64,474,0.0,0.30723974505638174
base,positive,medal,66,449,0.0,0.26271660145332587
base,positive,bloom,81,496,0.0003684607729603827,0.31875211936249576
base,positive,embrace,61,478,0.0,0.3001277139208174
base,positive,gift,75,466,0.0013807206245187583,0.33110250088059173
base,positive,birthday,45,467,0.0035573783422165385,0.2967171717171717
base,positive,vacation,82,446,0.00027213328700473734,0.3083989501312336
base,positive,harvest,84,491,0.0,0.2970922882427307
base,positive,sunshine,93,501,0.0009515731227794314,0.334044065387349
base,positive,rainbow,92,397,0.0009881716704616419,0.34782608695652173
base,negative,poison,92,496,4.460159905043701e-05,0.3038629384192662
base,negative,disaster,39,486,0.00016166672420971694,0.27827116637063354
base,negative,prison,62,475,0.0009339395511585691,0.312448063819179
base,negative,plague,60,486,6.768081505050861e-05,0.27847726262775885
base,negative,wound,65,489,7.188655405794218e-05,0.296998420221169
base,negative,betrayal,111,446,1.0664662635405478e-05,0.2976567447751742
base,negative,exile,167,450,0.00010790413213346761,0.33782569631626236
base,negative,darkness,82,481,0.00022381837263301538,0.31480241125251174
base,negative,corpse,79,488,8.7996936279292e-05,0.2994107341933429
base,negative,ruin,121,487,0.0001730904019177572,0.3299982446901878
base,neutral,ladder,81,474,0.0005092748817273386,0.33233162453597315
base,neutral,mirror,96,489,0.0,0.32060027285129605
base,neutral,wheel,77,472,0.0,0.2825792875394559
base,neutral,envelope,80,462,9.800480197632338e-05,0.2946708463949843
base,neutral,bridge,104,476,0.0003321369243177607,0.34113590999818544
base,neutral,thread,69,498,0.0005468368980810688,0.28114251532824885
base,neutral,anchor,84,491,0.0010470791085795926,0.3202180207801056
base,neutral,lantern,62,492,0.00039307287970081654,0.28759369741471624
base,neutral,bucket,137,473,5.245287861635243e-05,0.34686346863468637
base,neutral,rope,97,566,0.0014079344028449527,0.3383120388698938
chat,positive,treasure,32,417,0.0,0.26038834951456313
chat,positive,medal,36,429,0.0,0.2317663325267888
chat,positive,bloom,44,467,0.0001623655564904823,0.2599844901124467
chat,positive,embrace,58,491,0.0,0.27479508196721314
chat,positive,gift,59,468,0.00033389564994204063,0.23575949367088608
chat,positive,birthday,26,494,0.0017578321755410196,0.23671668137687554
chat,positive,vacation,40,497,0.00037070501982147745,0.27063572149344095
chat,positive,harvest,54,484,0.0,0.235056967572305
chat,positive,sunshine,46,481,0.0007628393631911519,0.28142707240293807
chat,positive,rainbow,51,431,0.0006812674574668319,0.26718469814704127
chat,negative,poison,86,474,0.0,0.27440147329650094
chat,negative,disaster,25,501,0.0010964564424790074,0.25126475548060706
chat,negative,prison,40,300,2.4473990868198775e-05,0.2609964966913196
chat,negative,plague,32,475,0.0003886302606918581,0.23823059157932136
chat,negative,wound,50,487,0.0,0.2524472891566265
chat,negative,betrayal,45,412,0.0,0.2208498023715415
chat,negative,exile,90,483,0.0,0.25928074245939675
chat,negative,darkness,58,488,0.00010681231874783533,0.2863549007046765
chat,negative,corpse,72,460,0.0,0.23269130661114004
chat,negative,ruin,80,493,7.709435845338282e-05,0.27079967689822293
chat,neutral,ladder,58,484,0.00015157691599829452,0.2775822811012213
chat,neutral,mirror,72,479,1.95732397264584e-05,0.2868449197860963
chat,neutral,wheel,49,474,0.0,0.21851067296724785
chat,neutral,envelope,35,479,0.0,0.20720024721878863
chat,neutral,bridge,48,503,0.0004626108149540044,0.2643927444794953
chat,neutral,thread,32,308,0.00034488993534156074,0.2456043956043956
chat,neutral,anchor,66,531,0.0015509008692043149,0.256601607347876
chat,neutral,lantern,66,485,0.0,0.29953093589457225
chat,neutral,bucket,76,450,0.0001169812040230844,0.29707576428887905
chat,neutral,rope,65,481,0.001962356175953674,0.28025078369905954
